,销售日期,数量,discount,num_grey,num_black,num_blue,num_small,num_medium,num_large,mean_price,max_price,min_price,rate_dis,num_othercolor
0,2008-03-02,5,5.0,0.0,1.0,4.0,4,1,0,21.90890230020664,499,459,0.0,0.0
1,2008-03-09,10,8.0,0.0,3.0,7.0,6,3,1,53.166405433005025,499,349,0.2,0.0
2,2008-03-16,14,10.0,1.0,7.0,5.0,9,5,0,47.07090746597446,499,321,0.2857142857142857,1.0
3,2008-03-23,18,15.0,1.0,5.0,12.0,12,6,0,26.762572636382465,499,422,0.16666666666666666,0.0
4,2008-03-30,11,6.0,1.0,4.0,5.0,5,6,0,86.95526540594412,499,200,0.4545454545454545,1.0
5,2008-04-06,21,20.0,2.0,8.0,8.0,17,4,0,44.82240086215396,499,349,0.047619047619047616,3.0
6,2008-04-13,14,10.0,1.0,5.0,4.0,10,4,0,82.40629043523744,499,184,0.2857142857142857,4.0
7,2008-04-20,15,8.0,2.0,5.0,5.0,11,4,0,69.45385587019699,499,321,0.4666666666666667,3.0
8,2008-04-27,19,11.0,4.0,7.0,6.0,12,7,0,123.99879739088587,499,182,0.42105263157894735,2.0
9,2008-05-04,16,8.0,3.0,6.0,6.0,7,8,1,120.34616736730757,499,184,0.5,1.0
10,2008-05-11,21,18.0,1.0,11.0,8.0,14,7,0,68.87704711329907,499,184,0.14285714285714285,1.0
11,2008-05-18,19,14.0,2.0,11.0,5.0,15,4,0,90.20781724660931,499,183,0.2631578947368421,1.0
12,2008-05-25,19,15.0,3.0,4.0,11.0,11,7,1,85.50828419905682,499,200,0.21052631578947367,1.0
13,2008-06-01,25,15.0,1.0,9.0,12.0,17,8,0,128.04897500565946,499,124,0.4,3.0
14,2008-06-08,30,25.0,12.0,7.0,11.0,23,7,0,63.65406687624176,499,184,0.16666666666666666,0.0
15,2008-06-15,29,23.0,4.0,8.0,16.0,22,7,0,41.712126268418785,499,299,0.20689655172413796,1.0
16,2008-06-22,36,32.0,9.0,7.0,19.0,30,5,1,49.22609805945146,499,299,0.1111111111111111,1.0
17,2008-06-29,55,39.0,9.0,17.0,23.0,37,16,2,105.71449384428894,499,140,0.2909090909090909,6.0
18,2008-07-06,43,37.0,9.0,7.0,24.0,34,9,0,92.06817734796962,499,184,0.13953488372093026,3.0
19,2008-07-13,21,17.0,5.0,3.0,12.0,20,1,0,96.02975729280108,499,229,0.19047619047619047,1.0
20,2008-07-20,29,28.0,8.0,8.0,11.0,22,7,0,51.58091830323424,499,349,0.03448275862068965,2.0
21,2008-07-27,26,23.0,4.0,6.0,14.0,20,6,0,55.05718239551797,499,299,0.1153846153846154,2.0
22,2008-08-03,42,41.0,7.0,7.0,25.0,28,12,2,56.58547849321963,499,299,0.023809523809523808,3.0
23,2008-08-10,32,29.0,6.0,9.0,15.0,24,7,1,48.07796717228543,499,349,0.09375,2.0
24,2008-08-17,61,52.0,22.0,9.0,28.0,46,13,2,63.23320961183457,499,275,0.14754098360655735,2.0
25,2008-08-24,49,39.0,17.0,10.0,18.0,37,12,0,57.137566719385646,499,321,0.20408163265306126,4.0
26,2008-08-31,58,45.0,15.0,16.0,26.0,47,11,0,72.04498124996822,599,321,0.2241379310344828,1.0
27,2008-09-07,67,56.0,22.0,20.0,24.0,47,18,2,66.44871655083209,599,321,0.16417910447761194,1.0
28,2008-09-14,63,55.0,17.0,18.0,26.0,48,15,0,76.59881121913274,599,299,0.12698412698412698,2.0
29,2008-09-21,74,67.0,15.0,26.0,32.0,56,18,0,80.39381157098794,599,321,0.0945945945945946,1.0
30,2008-09-28,76,63.0,20.0,20.0,34.0,60,16,0,80.54678009569211,599,175,0.17105263157894735,2.0
31,2008-10-05,156,122.0,33.0,33.0,88.0,104,47,5,74.14009830723043,599,243,0.21794871794871795,2.0
32,2008-10-12,58,47.0,7.0,14.0,36.0,51,5,2,78.48068223049276,599,255,0.1896551724137931,1.0
33,2008-10-19,83,61.0,11.0,15.0,56.0,60,18,5,83.51354497997283,599,200,0.26506024096385544,1.0
34,2008-10-26,76,53.00250626566416,12.0,17.0,47.0,57,14,5,92.8900085273466,599,225,0.3025986017675769,0.0
35,2008-11-02,95,48.0,17.0,24.0,54.0,67,26,2,114.2861450759758,599,204,0.4947368421052632,0.0
36,2008-11-09,103,48.0,17.0,27.0,59.0,72,27,4,126.24710525829805,599,200,0.5339805825242718,0.0
37,2008-11-16,71,39.0,14.0,22.0,35.0,53,18,0,116.9047953983186,599,200,0.4507042253521127,0.0
38,2008-11-23,44,23.0,7.0,15.0,22.0,30,12,2,114.20678734138987,599,199,0.4772727272727273,0.0
39,2008-11-30,62,3.0,4.0,15.0,43.0,42,19,1,99.7623898382026,599,99,0.9516129032258064,0.0
40,2008-12-07,86,38.0,6.0,30.0,50.0,48,30,8,95.30168743473,599,244,0.5581395348837209,0.0
41,2008-12-14,49,2.0,9.0,14.0,26.0,25,21,3,71.24937044715304,499,244,0.9591836734693876,0.0
42,2008-12-21,92,1.0,12.0,18.0,62.0,65,25,2,49.90431719143192,499,207,0.9891304347826086,0.0
43,2008-12-28,121,26.0,12.0,29.0,80.0,76,41,4,103.27759804988285,599,159,0.7851239669421488,0.0
44,2009-01-04,42,1.0,3.0,7.0,32.0,31,11,0,79.11671203426405,599,150,0.9761904761904762,0.0
45,2009-01-04,124,2.0,8.0,31.0,85.0,76,45,3,73.37776114092796,583,106,0.9838709677419356,0.0
46,2009-01-11,119,8.0,11.0,46.0,62.0,77,37,5,90.08028192964869,599,140,0.9327731092436976,0.0
47,2009-01-18,150,16.0,11.0,31.0,108.0,88,54,8,67.41487770169276,549,160,0.8933333333333333,0.0
48,2009-01-25,152,23.0,12.0,37.0,103.0,88,61,3,99.37925483414897,699,140,0.8486842105263158,0.0
49,2009-02-01,112,26.0,4.0,24.0,84.0,69,37,6,97.63335763212551,699,212,0.7678571428571429,0.0
50,2009-02-08,81,20.0,5.0,19.0,57.0,54,26,1,110.76332096684776,599,140,0.7530864197530864,0.0
51,2009-02-15,76,47.0,5.0,18.0,53.0,57,17,2,119.25269646442,699,160,0.3815789473684211,0.0
52,2009-02-22,48,21.0,4.0,8.0,35.0,29,16,3,153.4854626146807,999,160,0.5625,1.0
53,2009-03-01,56,37.0,2.0,13.0,40.0,38,16,2,129.72798010278592,999,244,0.3392857142857143,1.0
54,2009-03-08,121,73.0,1.0,29.0,91.0,83,31,7,98.22833494019922,703,244,0.39669421487603307,0.0
