,date,max_price,mean_price,min_price,num_black,num_blue,num_disc,num_grey,num_nodisc,num_purple,num_white,sale_vol,size_large,size_medium,size_small,std_price,month
0,2009-01-01,-0.724469387312,-0.56198717155,-0.153045839394,166,431,-0.662205781472,34,-0.403402549381,0,0,645,-0.498895571258,-0.494754575373,-0.494754575373,88.5372642882,0
1,2009-02-01,0.196141200165,0.106165109139,0.488214263022,59,188,-0.527913806288,14,-0.588266581802,0,0,263,-0.579397605299,-0.617420080754,-0.617420080754,129.742254883,1
2,2009-03-01,0.196141200165,0.453010896211,1.24263791292,77,294,-0.189601330347,13,-0.590421174254,0,0,389,-0.498895571258,-0.570605709135,-0.570605709135,120.248190389,2
3,2009-04-01,0.196141200165,0.36846118846,-0.662281803077,58,301,-0.086299810975,13,-0.609381587836,0,0,388,-0.565191363997,-0.554605860607,-0.554605860607,150.542288822,3
4,2009-05-01,0.196141200165,0.224457637243,1.60098914663,77,299,-0.388456755137,16,-0.553362184072,1,0,412,-0.536778881395,-0.56705018724,-0.56705018724,111.961391755,4
5,2009-06-01,-0.417599191486,-0.341230640926,-0.662281803077,52,290,-0.391039293121,14,-0.566720657277,2,0,368,-0.522572640093,-0.583050035768,-0.583050035768,174.255408849,5
6,2009-07-01,0.196141200165,-0.175334390068,-0.285069978127,49,328,-0.644128015581,12,-0.508546661061,1,0,403,-0.541514295162,-0.580087100855,-0.580087100855,143.646371067,6
7,2009-08-01,0.196141200165,0.373909027596,0.95972904421,58,337,-0.334223457467,21,-0.554654939543,1,0,414,-0.555720536463,-0.564087252328,-0.564087252328,151.494660566,7
8,2009-09-01,0.196141200165,-0.108886326368,-1.69961432169,96,624,-0.0630569691164,23,-0.456836442202,2,0,768,-0.475218502422,-0.435495877121,-0.435495877121,194.37596283,8
9,2009-10-01,0.196141200165,0.442225187875,-0.285069978127,71,593,-0.0966299629122,32,-0.474073181821,0,0,698,-0.470483088655,-0.491199053478,-0.491199053478,147.414737769,9
10,2009-11-01,-0.11072899566,0.368071210517,-0.266209386879,102,448,-0.086299810975,16,-0.531816259547,0,0,567,-0.446806019819,-0.519643228639,-0.519643228639,150.913791739,10
11,2009-12-01,0.196141200165,0.0733335081917,-0.266209386879,81,542,-0.106960114849,18,-0.496050024837,1,0,650,-0.418393537216,-0.504235967093,-0.504235967093,174.430421364,11
12,2010-01-01,0.196141200165,0.352472821538,0.865426087972,68,565,0.047992164208,25,-0.513286764456,1,0,659,-0.352097744477,-0.490013879513,-0.490013879513,152.444076677,0
13,2010-02-01,0.196141200165,0.229823644902,0.865426087972,68,714,0.0634873921138,30,-0.448648990882,2,0,815,-0.31421443434,-0.48942129253,-0.48942129253,148.255554564,1
14,2010-03-01,0.196141200165,0.0504570934085,-0.832027124304,45,473,-0.25158224197,6,-0.515872275399,0,5,588,-0.442070606052,-0.512532184848,-0.512532184848,180.609866893,2
15,2010-04-01,0.196141200165,0.233987252584,-0.285069978127,28,495,-0.184436254378,10,-0.523628808228,0,0,547,-0.465747674888,-0.516680293726,-0.516680293726,145.52812429,3
16,2010-05-01,0.196141200165,-0.160936757494,-0.0776034744038,39,700,-0.254164779954,8,-0.414606430133,3,2,774,-0.356833158244,-0.446755029789,-0.446755029789,134.235798402,4
17,2010-06-01,-0.724469387312,-0.521358998363,-0.454815299354,24,562,-0.739681921,3,-0.403833467871,7,3,607,-0.371039399545,-0.502458206146,-0.502458206146,95.5019734613,5
18,2010-07-01,-0.724469387312,-0.322700941601,0.865426087972,22,489,-0.713856541157,1,-0.44692531692,0,2,521,-0.423128950984,-0.5480874038,-0.5480874038,94.1309457331,6
19,2010-08-01,-1.03133958314,-0.174577940076,-0.153045839394,35,426,-0.507253502414,5,-0.503375639175,0,3,470,-0.484689329956,-0.546902229834,-0.546902229834,121.971615857,7
20,2010-09-01,-0.724469387312,-0.527967531432,-1.77505668668,97,569,-0.370378989247,6,-0.43787602862,0,1,677,-0.437335192285,-0.449125377719,-0.449125377719,167.594999778,8
21,2010-10-01,-0.417599191486,-0.455763438629,-0.643421211829,129,828,-0.0346490512892,25,-0.361603455803,0,0,990,-0.328420675641,-0.347200416726,-0.347200416726,168.229357005,9
22,2010-11-01,-0.724469387312,-0.180382722981,0.111002438071,117,585,-0.0527268171792,12,-0.474073181821,0,0,711,-0.408922709682,-0.46571781323,-0.46571781323,169.690367131,10
23,2010-12-01,-0.724469387312,-0.351672954029,-0.285069978127,98,805,-0.207679096237,22,-0.356863352408,0,0,928,-0.31421443434,-0.420088615576,-0.420088615576,159.473931425,11
24,2011-01-01,-0.724469387312,-0.109580192459,-0.454815299354,89,884,0.047992164208,27,-0.36763631467,0,0,994,-0.323685261874,-0.413570158768,-0.413570158768,150.96037969,0
25,2011-02-01,-0.724469387312,0.109962480064,0.676820175497,23,609,-0.163775950504,7,-0.486569818046,3,0,636,-0.437335192285,-0.49653233632,-0.49653233632,143.499226677,1
26,2011-03-01,0.196141200165,-0.569882022037,-0.662281803077,36,945,-0.137950570661,27,-0.330146405997,2,0,1094,-0.304743606805,-0.335348677076,-0.335348677076,192.326382901,2
27,2011-04-01,-0.724469387312,0.357567225166,0.676820175497,16,976,0.319158652558,17,-0.401247956928,0,3,1028,-0.285801951737,-0.332385742163,-0.332385742163,141.796654246,3
28,2011-05-01,-0.724469387312,0.230898785655,0.676820175497,5,740,-0.0217363613678,5,-0.458991034654,0,3,758,-0.342626916942,-0.445569855824,-0.445569855824,156.542791597,4
29,2011-06-01,-0.724469387312,-0.262683016919,0.657959584249,11,570,-0.447855128775,8,-0.456836442202,6,2,600,-0.446806019819,-0.502458206146,-0.502458206146,151.042401,5
30,2011-07-01,-0.724469387312,-0.416082148934,0.676820175497,12,564,-0.520166192336,6,-0.448218072392,3,3,590,-0.432599778518,-0.500680445198,-0.500680445198,143.676801236,6
31,2011-08-01,-0.417599191486,-0.300359654028,-0.285069978127,27,594,-0.3781266032,6,-0.45511276824,2,3,628,-0.465747674888,-0.454458660562,-0.454458660562,168.128846074,7
32,2011-09-01,0.638034282154,-0.0438725614547,-1.2280995405,83,540,-0.223174324142,19,-0.469333078426,4,0,660,-0.513101812559,-0.415940506698,-0.415940506698,202.008782472,8
33,2011-10-01,1.11675178764,0.188923328926,-0.454815299354,104,733,0.159041297532,8,-0.447787153901,0,0,859,-0.498895571258,-0.338904198971,-0.338904198971,184.420186758,9
34,2011-11-01,-0.11072899566,-0.0402818196542,0.676820175497,54,521,-0.419447210948,0,-0.47278042635,0,0,578,-0.413658123449,-0.485865770635,-0.485865770635,146.779141665,10
35,2011-12-01,-0.11072899566,-0.153655835827,0.0921418468238,41,737,-0.380709141184,3,-0.390474994666,0,0,778,-0.361568572011,-0.419496028593,-0.419496028593,155.684992069,11
36,2012-01-01,-0.11072899566,0.17121277497,0.0921418468238,36,634,-0.236087014064,10,-0.458129197673,0,0,676,-0.437335192285,-0.458014182457,-0.458014182457,164.804358271,0
37,2012-02-01,-0.11072899566,-0.0353991061417,-1.39784486173,56,446,-0.375544065215,29,-0.495619106346,6,0,535,-0.484689329956,-0.497717510285,-0.497717510285,186.425722746,1
38,2012-03-01,-0.11072899566,0.633029087517,0.0921418468238,24,498,-0.184436254378,17,-0.52578340068,0,0,534,-0.565191363997,-0.46571781323,-0.46571781323,170.202684239,2
39,2012-04-01,-0.11072899566,0.824854604004,0.0544206643288,17,581,-0.00107605749345,8,-0.527076156152,0,0,604,-0.584133019066,-0.401718419118,-0.401718419118,165.104654741,3
40,2012-05-01,-0.11072899566,0.461219875887,0.0544206643288,13,384,-0.422029748933,1,-0.547760243696,0,1,400,-0.584133019066,-0.517272880709,-0.517272880709,184.667328442,4
41,2012-06-01,-0.417599191486,0.456338259166,-0.266209386879,11,260,-0.57698202799,1,-0.575339027087,2,0,271,-0.569926777764,-0.583050035768,-0.583050035768,173.521805516,5
42,2012-07-01,-0.724469387312,0.115166762906,-0.266209386879,12,304,-0.734516845032,2,-0.528799830114,1,1,324,-0.588868432833,-0.548679990782,-0.548679990782,135.584831658,6
43,2012-08-01,-0.417599191486,0.26828143321,-0.266209386879,3,275,-0.597642331864,1,-0.565858820296,5,0,291,-0.607810087901,-0.568827948188,-0.568827948188,180.996360025,7
44,2012-09-01,-0.724469387312,-0.109643183367,-0.266209386879,11,302,-0.561486800084,0,-0.557240450486,9,0,357,-0.574662191532,-0.572383470083,-0.572383470083,189.826306462,8
45,2012-10-01,-0.724469387312,-0.629080001367,-0.285069978127,21,482,-0.719021617126,7,-0.448218072392,3,0,517,-0.489424743723,-0.484088009688,-0.484088009688,149.137912119,9
46,2012-11-01,-0.11072899566,-0.064608333259,0.280747759299,19,211,-0.672535933409,1,-0.578355456521,1,0,241,-0.56045595023,-0.615642319807,-0.615642319807,176.132819335,10
47,2012-12-01,-0.11072899566,-1.46313941322,-1.94480200791,35,500,-0.70352638922,1,-0.439168784092,7,0,587,-0.446806019819,-0.509569249936,-0.509569249936,180.638563988,11
48,2013-01-01,-0.417599191486,-0.670231763019,0.356190124289,23,217,-0.716439079142,1,-0.567151575768,0,0,239,-0.532043467627,-0.624531124544,-0.624531124544,156.952721154,0
49,2013-02-01,-0.982240351805,-1.18176851138,-1.20923894925,16,243,-0.822323136497,0,-0.541727384829,0,0,261,-0.522572640093,-0.629864407387,-0.629864407387,117.287847624,1
50,2013-03-01,-0.724469387312,-2.14822155162,-2.0202443729,78,380,-0.801662832623,31,-0.429688577301,0,0,1425,-0.408922709682,-0.521420989586,-0.521420989586,168.207771321,2
51,2013-04-01,-0.11072899566,-0.82473722874,0.620238401754,15,178,-0.814575522545,1,-0.571029842182,0,0,191,-0.565191363997,-0.63519769023,-0.63519769023,114.737797474,3
52,2013-05-01,-0.724469387312,-0.933489495975,0.676820175497,14,214,-0.79391521867,3,-0.558533205958,0,0,228,-0.588868432833,-0.612086797911,-0.612086797911,121.144870955,4
53,2013-06-01,-1.48857617492,-1.00990386183,0.676820175497,5,131,-0.84814851634,3,-0.588697500292,0,0,141,-0.603074674134,-0.66127151746,-0.66127151746,76.2882219358,5
