sku_id,Quantity
1128100892B01#2B01#00#29,1
1128100892B01#2B01#00#32,1
121801001B297#B297#32#28,1
121801001B297#B297#32#29,7
121801001B297#B297#32#30,1
121801001B297#B297#32#31,6
121801001B297#B297#32#32,1
121801001B297#B297#32#33,4
121801003B701#B701#32#28,4
121801003B701#B701#32#29,4
121801003B701#B701#32#30,3
121801003B701#B701#32#31,1
121801003B701#B701#32#32,1
121801003B701#B701#32#33,2
121801003C208#C208#32#30,1
121801003C208#C208#32#31,3
121801003C208#C208#32#32,2
121801005B276#B276#32#28,1
121801005B276#B276#32#29,9
121801005B276#B276#32#30,17
121801005B276#B276#32#31,14
121801005B276#B276#32#32,14
121801005B276#B276#32#33,9
121801005B276#B276#32#34,6
121801005B276#B276#32#36,4
121801005B276#B276#34#33,3
121801005B276#B276#34#34,2
121801005B276#B276#34#36,1
121801005B375#B375#32#28,2
121801005B375#B375#32#29,6
121801005B375#B375#32#30,6
121801005B375#B375#32#31,6
121801005B375#B375#32#32,3
121801005B375#B375#32#33,5
121801005B375#B375#32#34,1
121801005B375#B375#32#36,1
121801005B375#B375#34#33,3
121801005B375#B375#34#34,3
121801006B816#B816#32#29,3
121801006B816#B816#32#30,2
121801006B816#B816#32#31,1
121801006B816#B816#32#32,2
121801006B816#B816#32#33,1
121801006B816#B816#32#34,1
121801006C208#C208#32#28,2
121801006C208#C208#32#29,2
121801006C208#C208#32#30,1
121801006C208#C208#32#31,3
121801006C208#C208#32#32,2
121801006C208#C208#32#33,1
121801006C208#C208#32#34,1
121801007B297#B297#32#30,3
121801007B297#B297#32#31,1
121801007B297#B297#32#33,1
121801007B297#B297#34#34,1
121801007B356#B356#32#28,1
121801007B356#B356#32#29,1
121801007B356#B356#32#30,3
121801007B356#B356#32#31,4
121801007B356#B356#32#32,2
121801007B356#B356#34#33,1
121801012B339#B339#32#30,24
121801012B339#B339#32#31,10
121801012B339#B339#32#32,7
121801012B339#B339#32#33,12
121801012B339#B339#32#34,1
121801012B339#B339#34#33,7
121801012B339#B339#34#34,3
121801014B701#B701#32#29,1
121801014C208#C208#32#28,2
121801014C208#C208#32#29,1
121801014C208#C208#32#30,5
121801014C208#C208#32#31,9
121801014C208#C208#32#32,10
121801014C208#C208#32#33,2
121801014C208#C208#34#33,2
121801014C208#C208#34#34,1
121801016C208#C208#32#28,2
121801016C208#C208#32#29,12
121801016C208#C208#32#30,14
121801016C208#C208#32#31,15
121801016C208#C208#32#32,8
121801016C208#C208#32#33,8
121801016C208#C208#32#34,3
121801016C208#C208#34#33,2
121801017B339#B339#32#31,1
121801017B339#B339#32#32,5
121801017B339#B339#32#33,5
121801017B339#B339#32#34,2
121801017B339#B339#32#36,1
121801017B339#B339#34#31,1
121801017B339#B339#34#32,1
121801017B339#B339#34#33,1
1218020012B01#2B01#00#M,3
1218020012B01#2B01#00#XL,1
1218020032B01#2B01#00#L,6
1218020032B01#2B01#00#M,5
1218020032B01#2B01#00#S,1
1218020032B01#2B01#00#XL,7
1218020032B01#2B01#00#XXL,1
1218020042B01#2B01#00#L,16
1218020042B01#2B01#00#M,26
1218020042B01#2B01#00#S,8
1218020042B01#2B01#00#XL,17
1218020042B01#2B01#00#XXL,7
1218020052B01#2B01#00#XL,3
1218020052B01#2B01#00#XXL,2
1218020062B01#2B01#00#L,3
1218020062B01#2B01#00#M,1
1218020062B01#2B01#00#XXL,1
121802009B339#B339#00#L,1
121802009B375#B375#00#L,1
121802010B339#B339#00#L,26
121802010B339#B339#00#M,13
121802010B339#B339#00#S,5
121802010B339#B339#00#XL,21
121802010B339#B339#00#XXL,6
121802010C208#C208#00#L,19
121802010C208#C208#00#M,25
121802010C208#C208#00#S,3
121802010C208#C208#00#XL,3
121802010C208#C208#00#XXL,3
121802011B339#B339#00#L,6
121802011B339#B339#00#M,4
121802011B339#B339#00#S,3
121802011B339#B339#00#XL,2
121802011B339#B339#00#XXL,3
121802012C208#C208#00#L,7
121802012C208#C208#00#M,5
121802012C208#C208#00#XXL,1
121802014B339#B339#00#L,3
121802014B339#B339#00#M,2
121802014B339#B339#00#XL,1
121802014C208#C208#00#L,4
121802014C208#C208#00#M,2
121802014C208#C208#00#XL,2
121802014C208#C208#00#XXL,2
121802015B297#B297#00#L,1
121802015B297#B297#00#M,2
121802015B297#B297#00#XL,1
121802017B701#B701#00#L,3
121802017B701#B701#00#M,2
121802017B701#B701#00#S,1
121802017B701#B701#00#XXL,1
121802020B701#B701#00#M,2
121802021B701#B701#00#L,2
121802021B807#B807#00#S,2
121802021B807#B807#00#XL,1
121802023B069#B069#00#L,1
121802023B069#B069#00#M,5
121802023B069#B069#00#S,1
121802023B578#B578#00#M,2
121802023B578#B578#00#S,3
121802023B578#B578#00#XL,2
121802023B701#B701#00#L,2
121802023B807#B807#00#L,2
121802023B807#B807#00#M,6
121802023B807#B807#00#S,2
121802023B807#B807#00#XL,1
121802026B701#B701#00#XL,1
121802026B907#B907#00#XL,1
1218020282B01#2B01#00#L,4
1218020282B01#2B01#00#M,1
1218020282B01#2B01#00#XL,1
1218020292B01#2B01#00#L,14
121803002B339#B339#00#L,11
121803002B339#B339#00#M,14
121803002B339#B339#00#S,9
121803002B339#B339#00#XL,10
121803002B339#B339#00#XXL,2
121803002B375#B375#00#L,1
121803002B375#B375#00#M,4
121803002B375#B375#00#S,3
121803002B375#B375#00#XL,1
121803005B701#B701#00#S,1
121803005B701#B701#00#XL,1
121803005B807#B807#00#L,1
121803005B807#B807#00#XL,1
121803008B583#B583#00#M,1
121803008B583#B583#00#S,1
121803008B701#B701#00#S,1
121803011B069#B069#00#M,32
121803011B571#B571#00#L,1
121803011B571#B571#00#M,1
121803011B571#B571#00#XL,1
121803011B571#B571#00#XXL,1
121803012B571#B571#00#M,1
121803012B571#B571#00#XL,1
121803012B571#B571#00#XXL,3
121803013B069#B069#00#L,7
121803013B069#B069#00#M,6
121803013B069#B069#00#S,4
121803013B069#B069#00#XL,1
121803013B571#B571#00#L,8
121803013B571#B571#00#M,2
121803013B571#B571#00#S,3
121803013B571#B571#00#XL,2
1218031022B01#2B01#00#L,7
1218031022B01#2B01#00#M,1
1218031022B01#2B01#00#XL,1
1218031031B01#1B01#00#L,2
1218031031B01#1B01#00#M,1
1218031042B01#2B01#00#L,5
1218031042B01#2B01#00#S,1
1218031042B01#2B01#00#XXL,1
1218031052B01#2B01#00#L,4
1218031052B01#2B01#00#M,14
1218031052B01#2B01#00#XL,1
1218031072B01#2B01#00#L,3
1218031072B01#2B01#00#M,6
1218031072B01#2B01#00#S,3
1218031072B01#2B01#00#XL,3
1218031072B01#2B01#00#XXL,3
1218031082B01#2B01#00#L,29
1218031082B01#2B01#00#M,29
1218031082B01#2B01#00#S,9
1218031082B01#2B01#00#XL,15
1218031082B01#2B01#00#XXL,9
1218031092B01#2B01#00#L,13
1218031092B01#2B01#00#M,11
1218031092B01#2B01#00#S,4
1218031092B01#2B01#00#XL,7
1218031092B01#2B01#00#XXL,1
1218031112B01#2B01#00#L,1
1218031112B01#2B01#00#M,3
1218031212B01#2B01#00#L,12
1218031212B01#2B01#00#M,10
1218031212B01#2B01#00#S,3
1218031212B01#2B01#00#XL,10
1218031212B01#2B01#00#XXL,10
121803122B504#B504#00#L,19
121803122B504#B504#00#M,20
121803122B504#B504#00#S,6
121803122B504#B504#00#XL,14
121803122B504#B504#00#XXL,3
121804001B069#B069#00#L,1
121804001B069#B069#00#M,2
121804001B807#B807#00#L,11
121804001B807#B807#00#M,9
121804001B807#B807#00#S,1
121804001B807#B807#00#XL,5
121804001B807#B807#00#XXL,2
121804002B701#B701#00#L,1
121804002B701#B701#00#M,2
121804002B701#B701#00#XL,1
121804004B701#B701#00#L,2
121804004B701#B701#00#XL,2
121804004B907#B907#00#L,3
121804004B907#B907#00#XL,1
121804005B369#B369#00#L,1
121804005B369#B369#00#M,4
121804005B369#B369#00#XL,1
121804005B902#B902#00#L,1
121804005B902#B902#00#S,1
121804005B902#B902#00#XL,1
121804008B069#B069#00#L,2
121804008B069#B069#00#M,1
121804008B069#B069#00#S,1
121804008B069#B069#00#XL,1
121804008B069#B069#00#XXL,3
121804008B701#B701#00#L,6
121804008B701#B701#00#M,1
121804008B701#B701#00#S,2
121804008B701#B701#00#XL,2
121804008B701#B701#00#XXL,1
121804011B701#B701#00#M,4
121804011B701#B701#00#S,1
121804011B701#B701#00#XL,1
121804011B807#B807#00#L,2
121804011B807#B807#00#XL,2
121804011B807#B807#00#XXL,1
121804016B369#B369#00#L,6
121804016B369#B369#00#M,30
121804016B369#B369#00#S,1
121804016B369#B369#00#XL,1
121804016B369#B369#00#XXL,1
121804016B907#B907#00#L,5
121804016B907#B907#00#M,2
121804016B907#B907#00#S,4
121804016B907#B907#00#XL,1
121804016B907#B907#00#XXL,1
121804019B369#B369#00#L,3
121804019B369#B369#00#M,1
121804019B369#B369#00#S,1
121804019B369#B369#00#XL,1
121804019B369#B369#00#XXL,3
121804019B907#B907#00#L,7
121804019B907#B907#00#M,2
121804019B907#B907#00#S,1
121804033B069#B069#00#L,1
121804033B069#B069#00#M,1
121804033B069#B069#00#S,1
121804033B069#B069#00#XL,1
121804033B807#B807#00#L,3
121804033B807#B807#00#S,3
121804033B807#B807#00#XXL,2
121804055B368#B368#00#L,5
121804055B902#B902#00#L,5
121804056B368#B368#00#S,1
121804056B368#B368#00#XL,1
121804056B902#B902#00#L,1
121804056B902#B902#00#M,1
121804056B902#B902#00#XL,1
121804084B902#B902#00#L,4
121804084B902#B902#00#M,6
121804084B902#B902#00#S,2
121804084B902#B902#00#XL,1
121804084B902#B902#00#XXL,1
121804084B985#B985#00#L,3
121804084B985#B985#00#XL,5
121804085B902#B902#00#L,2
121804085B902#B902#00#M,3
121804085B902#B902#00#S,3
121804085B902#B902#00#XL,3
121804085B902#B902#00#XXL,2
121804085B985#B985#00#L,3
121804086B701#B701#00#L,59
121804086B701#B701#00#M,46
121804086B701#B701#00#S,35
121804086B701#B701#00#XL,63
121804086B701#B701#00#XXL,21
121804086B801#B801#00#L,22
121804086B801#B801#00#M,18
121804086B801#B801#00#S,8
121804086B801#B801#00#XL,38
121804086B801#B801#00#XXL,24
121804087B701#B701#00#M,2
121804087B801#B801#00#L,1
121804087B801#B801#00#S,1
121805002B575#B575#00#L,1
121805002B902#B902#00#L,1
121805006B807#B807#00#L,11
